Date,Open,High,Low,Close,Volume
2018/1/22,177.300003,179.440002,170.059998,171.509995,191574800
2018/1/29,170.160004,170.160004,160.100006,160.5,262992100
2018/2/5,159.100006,163.880005,150.240005,156.410004,317654000
2018/2/12,158.5,174.820007,157.509995,172.429993,225336900
2018/2/19,172.050003,175.649994,171.009995,175.5,136206400
2018/2/26,176.350006,180.619995,172.449997,176.210007,202128400
2018/3/5,175.210007,180,174.270004,179.979996,139852700
2018/3/12,180.289993,183.5,177.619995,178.020004,155417500
2018/3/19,177.320007,177.470001,164.940002,164.940002,172670700
2018/3/26,168.070007,175.149994,165.190002,167.779999,157898400
2018/3/29,167.804993,171.75,166.899994,167.779999,38398505
